Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"C1","100u","CP_Radial_D5.0mm_P2.50mm",147.720000,-79.090000,0.000000,top
"D1","LED_Filled","LED_D3.0mm",136.155000,-92.070000,0.000000,top
"D2","LED_Filled","LED_D3.0mm",136.155000,-97.150000,0.000000,top
"D3","LED_Filled","LED_D3.0mm",136.155000,-94.610000,180.000000,top
"D4","LED_Filled","LED_D3.0mm",141.235000,-94.610000,180.000000,top
"R1","120K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",144.550000,-86.660000,90.000000,top
"R2","15.1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",144.510000,-97.180000,90.000000,top
"R3","5.1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",141.510000,-86.630000,90.000000,top
"R4","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",130.380000,-88.470000,-90.000000,top
"U1","NE555P","DIP-8_W7.62mm",136.680000,-78.670000,-90.000000,top
"U2","L78L06_TO92","TO-92L_Inline",125.940000,-89.540000,-90.000000,top
